site_name,url,title,date,facebook_total,facebook_likes,facebook_shares,facebook_comments
Straits Times,https://www.straitstimes.com/singapore/manpower/coronavirus-600-work-pass-holders-who-travelled-to-china-allowed-to-enter-spore,Coronavirus: 600 work pass holders who travelled to China allowed to enter S'pore since start of new rules,12/2/20,10371,5904,2102,2365
Yahoo Singapore,https://sg.news.yahoo.com/coronavirus-singapore-confirms-two-new-cases-including-cisco-officer-on-duty-at-chingay-2020-121935569.html,Coronavirus: S&#39;pore confirms 2 new cases including Cisco officer on duty at Chingay 2020; total at 45,10/2/20,10173,5843,2819,1511
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-three-new-cases-confirmed-in-singapore-two-linked-to-grace-assembly,"Coronavirus: Three new cases confirmed in Singapore, including an RSAF regular",16/2/20,10060,6623,2527,910
Straits Times,https://www.straitstimes.com/singapore/wuhan-virus-no-new-cases-reported-in-singapore-today-all-confirmed-cases-are-in-stable,Wuhan virus: No new cases reported in Singapore today; all 18 confirmed cases are in stable condition,2/2/20,9623,7524,1602,498
Straits Times,https://www.straitstimes.com/singapore/health/wuhan-virus-15-people-refused-entry-into-singapore-following-new-travel,Wuhan virus: 15 people refused entry into Singapore following new travel restrictions,2/2/20,9606,6863,1912,831
Straits Times,https://www.straitstimes.com/singapore/transport/smrt-to-cut-pay-bonus-as-coronavirus-crisis-continues,"SMRT to cut pay, bonus as coronavirus crisis continues",26/2/20,9520,4954,2395,2172
Straits Times,https://www.straitstimes.com/singapore/coronavirus-hotels-closing-floors-shortening-service-hours-sending-staff-on-leave-to-cope,"Coronavirus: Hotels closing floors, shortening service hours, sending staff on leave to cope with lull",27/2/20,9500,6072,2503,926
Must Share News,https://mustsharenews.com/h1n1-flu-deaths-taiwan,"H1N1 Swine Flu Has Killed 56 In Taiwan Over 3 Months, Possibly More Lethal Than Wuhan Virus",5/2/20,9457,4070,4242,1145
Straits Times,https://www.straitstimes.com/singapore/coronavirus-5-new-cases-confirmed-in-singapore-3-linked-to-grace-assembly-church,"Coronavirus: 5 new cases confirmed in Singapore, 3 linked to Grace Assembly church",15/2/20,9229,5982,1961,1286
Mothership,https://www.mothership.sg/2020/02/singpost-clapback-coronavirus,SingPost Communications Chief posts sassy clapback to customer who wished coronavirus on staff,12/2/20,8955,6489,1518,948
Straits Times,https://www.straitstimes.com/singapore/coronavirus-sia-silkair-cancels-more-than-100-flights-between-march-and-may-due-to-weak,"Coronavirus: SIA, SilkAir cancel more than 100 flights between March and May due to weak demand",18/2/20,8941,5233,2111,1597
Straits Times,https://www.straitstimes.com/singapore/coronavirus-2-new-cases-confirmed-with-no-previous-links-4-more-discharged,"Coronavirus: 2 new cases confirmed with no previous links; 4 more, including private hospital doctor, discharged",26/2/20,8923,5599,2567,757
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-singapores-economy-will-take-a-hit-recession-possible-says-pm-lee-hsien,"Coronavirus: : Impact on economy already exceeds Sars, recession possible, says PM Lee",14/2/20,8818,5531,2205,1082
Today Online,https://www.todayonline.com/singapore/mom-cancels-work-passes-and-employers-work-pass-privileges-after-leave-absence-breached,Novel coronavirus: MOM cancels work passes and employers' work pass privileges after leave of absence breached,9/2/20,8812,6151,1850,811
Straits Times,https://www.straitstimes.com/singapore/couple-who-had-coronavirus-charged-under-infectious-diseases-act-for-giving-false,Coronavirus: Chinese couple to be charged under Infectious Diseases Act with giving false info to MOH officials,26/2/20,8775,5369,2137,1269
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-3-new-confirmed-cases-including-one-linked-to-a-previous-case-4,Coronavirus: 12-year-old RI student and his family member among 3 new confirmed cases in S'pore; 4 others discharged,27/2/20,8690,5416,2391,883
Yahoo Singapore,https://sg.news.yahoo.com/coronavirus-3-new-confirmed-cases-in-singapore-including-female-teacher-from-victoria-junior-college-092627495.html,"Coronavirus: 3 new confirmed cases in Singapore, including female teacher from Victoria Junior College",7/2/20,8211,4900,1638,1673
Straits Times,https://www.straitstimes.com/singapore/coronavirus-i-am-just-unlucky-says-anaesthesiologist-singapores-first-healthcare-worker-to,"'I am just unlucky,' says anaesthesiologist, S'pore's first known healthcare worker to be infected with coronavirus",14/2/20,8191,5427,1743,1021
Mothership,https://www.mothership.sg/2020/02/amk-church-wuhan-virus,"Coronavirus: Case 55 attended Catholic church in Ang Mo Kio, family member of DBS case",14/2/20,8041,4628,2116,1297
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-singapore-discharged-patient-12410070,'I thought I had the common cold': Singapore's second coronavirus patient on her experience,8/2/20,8033,6014,1528,491
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-patient-discharged-ncid-moh-12390714,Novel coronavirus patient discharged from NCID after recovery: MOH,4/2/20,7990,6057,1408,532
Mothership,https://www.mothership.sg/2020/02/philippines-travel-ban-singapore,Coronavirus: The Philippines considers imposing travel ban on S’pore,14/2/20,7974,4145,1582,2247
Straits Times,https://www.straitstimes.com/singapore/singapore-rolls-out-covid-19-vaccination-exercise-senior-staff-nurse-at-ncid-receives,Singapore rolls out Covid-19 vaccination exercise; senior staff nurse at NCID receives first jab,30/12/20,21759,18413,2000,1346
Straits Times,https://www.straitstimes.com/singapore/coronavirus-ample-stock-in-singapore-no-need-to-hoard-fairprice-group-ceo,"Coronavirus: Ample stock in Singapore, no need to hoard: FairPrice group CEO",8/2/20,7660,5102,1443,1118
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-discharged-woman-who-was-in-icu-said-she-felt-like-she-was-dying,Coronavirus: Woman who was discharged after being in ICU said she felt like she was dying,16/2/20,7618,6370,910,338
Channel News Asia,https://www.channelnewsasia.com/news/singapore/covid-19-first-vaccinations-ncid-healthcare-workers-pfizer-13864346,NCID nurse becomes first person in Singapore to receive COVID-19 vaccine,30/12/20,11862,9127,1436,1299
Straits Times,https://www.straitstimes.com/singapore/coronavirus-office-floor-at-ngee-ann-city-cordoned-off-after-dbs-staff-working-there,Coronavirus: Office floor at Ngee Ann city cordoned off after DBS staff working there infected,18/2/20,7535,4467,2014,1054
Mothership,https://www.mothership.sg/2020/02/wuhan-virus-local-spread,4 in S’pore infected with Wuhan virus due to Chinese tourist stop in Lavender,4/2/20,7490,3901,2180,1409
Channel News Asia,https://www.channelnewsasia.com/news/singapore/wuhan-virus-coronavirus-lee-hsien-loong-singapore-courage-12411082,"PM Lee urges Singapore to take courage amid coronavirus outbreak, see through stressful time together",8/2/20,7476,5216,1156,1104
Straits Times,https://www.straitstimes.com/singapore/1-year-old-boy-evacuated-from-wuhan-on-feb-9-among-2-new-coronavirus-cases-in-spore-the,1-year-old boy evacuated from Wuhan on Feb 9 among 2 new coronavirus cases in S’pore; the other case linked to DBS staff infected earlier,17/2/20,7424,4996,1922,506
Straits Times,https://www.straitstimes.com/singapore/health/coronavirus-3-new-cases-two-linked-to-existing-church-clusters-five-more-patients,"Coronavirus: 3 new cases in Singapore, including one first warded as dengue patient; five more patients discharged",19/2/20,7372,4435,2164,773
Today Online,https://www.todayonline.com/singapore/novel-coronavirus-dbs-evacuates-300-staff-mbfc-tower-3-after-confirmed-case,Novel coronavirus: DBS evacuates 300 staff from MBFC Tower 3 after confirmed case,12/2/20,7341,4402,1903,1036
Straits Times,https://www.straitstimes.com/asia/se-asia/thailand-clears-use-of-herbal-medicine-for-covid-19-treatment,Thailand clears use of herbal medicine for Covid-19 treatment,30/12/20,7474,4787,1414,1273
Mothership,https://mothership.sg/2020/12/covid-19-vaccine-nurse-singapore,"Senior staff nurse, 46, first in S'pore to receive Covid-19 vaccination shot",30/12/20,3700,2703,365,633
